OriginalTicker,CleanedTicker,YahooTicker,Exchange,Company,URL
AAK,AAK,AAK.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/AAK.ST
ABB,ABB,ABB.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ABB.ST
ALIF B,ALIF-B,ALIF-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ALIF-B.ST
ANOD B,ANOD-B,ANOD-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ANOD-B.ST
ADDT B,ADDT-B,ADDT-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ADDT-B.ST
AFRY,AFRY,AFRY.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/AFRY.ST
ALFA,ALFA,ALFA,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ALFA
ALLEI,ALLEI,ALLEI.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ALLEI.ST
ARION SDB,ARION-SDB,ARION-SDB.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ARION-SDB.ST
ASKER,ASKER,ASKER.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ASKER.ST
ASMDEE B,ASMDEE-B,ASMDEE-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ASMDEE-B.ST
ASSA B,ASSA-B,ASSA-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ASSA-B.ST
AZN,AZN,AZN,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/AZN
ATCO A,ATCO-A,ATCO-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATCO-A.ST
ATCO B,ATCO-B,ATCO-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATCO-B.ST
ATRLJ B,ATRLJ-B,ATRLJ-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATRLJ-B.ST
ALIV SDB,ALIV-SDB,ALIV-SDB.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ALIV-SDB.ST
AZA,AZA,AZA,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/AZA
AXFO,AXFO,AXFO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/AXFO.ST
BALD B,BALD-B,BALD-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BALD-B.ST
BEIJ B,BEIJ-B,BEIJ-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BEIJ-B.ST
BETS B,BETS-B,BETS-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BETS-B.ST
BETCO,BETCO,BETCO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BETCO.ST
BILI A,BILI-A,BILI-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BILI-A.ST
BILL,BILL,BILL,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/BILL
BIOA B,BIOA-B,BIOA-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BIOA-B.ST
BIOT,BIOT,BIOT.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BIOT.ST
BOL,BOL,BOL,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/BOL
BONEX,BONEX,BONEX.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BONEX.ST
BRAV,BRAV,BRAV,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/BRAV
BURE,BURE,BURE.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BURE.ST
CAMX,CAMX,CAMX,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/CAMX
CAST,CAST,CAST,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/CAST
CATE,CATE,CATE.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CATE.ST
CORE A,CORE-A,CORE-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CORE-A.ST
CORE B,CORE-B,CORE-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CORE-B.ST
CORE D,CORE-D,CORE-D.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CORE-D.ST
CORE PREF,CORE-PREF,CORE-PREF.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CORE-PREF.ST
DOM,DOM,DOM,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/DOM
ELUX A,ELUX-A,ELUX-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ELUX-A.ST
ELUX B,ELUX-B,ELUX-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ELUX-B.ST
EPRO B,EPRO-B,EPRO-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EPRO-B.ST
EKTA B,EKTA-B,EKTA-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EKTA-B.ST
EMBRAC B,EMBRAC-B,EMBRAC-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EMBRAC-B.ST
ENGCON B,ENGCON-B,ENGCON-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ENGCON-B.ST
EPI A,EPI-A,EPI-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EPI-A.ST
EPI B,EPI-B,EPI-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EPI-B.ST
EQT,EQT,EQT,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/EQT
ERIC A,ERIC-A,ERIC-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ERIC-A.ST
ERIC B,ERIC-B,ERIC-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ERIC-B.ST
ESSITY A,ESSITY-A,ESSITY-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ESSITY-A.ST
ESSITY B,ESSITY-B,ESSITY-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ESSITY-B.ST
EVO,EVO,EVO,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/EVO
FABG,FABG,FABG.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FABG.ST
FPAR A,FPAR-A,FPAR-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FPAR-A.ST
FPAR D,FPAR-D,FPAR-D.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FPAR-D.ST
FOI B,FOI-B,FOI-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FOI-B.ST
FNOX,FNOX,FNOX.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FNOX.ST
GETI B,GETI-B,GETI-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/GETI-B.ST
GRNG,GRNG,GRNG.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/GRNG.ST
HM B,HM-B,HM-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HM-B.ST
SHB A,SHB-A,SHB-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SHB-A.ST
SHB B,SHB-B,SHB-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SHB-B.ST
HEM,HEM,HEM,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/HEM
HEXA B,HEXA-B,HEXA-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HEXA-B.ST
HPOL B,HPOL-B,HPOL-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HPOL-B.ST
HMS,HMS,HMS,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/HMS
HOLM A,HOLM-A,HOLM-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HOLM-A.ST
HOLM B,HOLM-B,HOLM-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HOLM-B.ST
HUFV A,HUFV-A,HUFV-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HUFV-A.ST
HUSQ A,HUSQ-A,HUSQ-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HUSQ-A.ST
HUSQ B,HUSQ-B,HUSQ-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HUSQ-B.ST
INDU A,INDU-A,INDU-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/INDU-A.ST
INDU C,INDU-C,INDU-C.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/INDU-C.ST
INDT,INDT,INDT.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/INDT.ST
IPCO,IPCO,IPCO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/IPCO.ST
INVE A,INVE-A,INVE-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/INVE-A.ST
INVE B,INVE-B,INVE-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/INVE-B.ST
JM,JM,JM,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/JM
KINV A,KINV-A,KINV-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/KINV-A.ST
KINV B,KINV-B,KINV-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/KINV-B.ST
LAGR B,LAGR-B,LAGR-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/LAGR-B.ST
LATO B,LATO-B,LATO-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/LATO-B.ST
LIFCO B,LIFCO-B,LIFCO-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/LIFCO-B.ST
LIAB,LIAB,LIAB,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/LIAB
LOOMIS,LOOMIS,LOOMIS.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/LOOMIS.ST
LUND B,LUND-B,LUND-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/LUND-B.ST
LUG,LUG,LUG.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/LUG.ST
LUMI,LUMI,LUMI,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/LUMI
MCOV B,MCOV-B,MCOV-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MCOV-B.ST
MIPS,MIPS,MIPS,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/MIPS
MTRS,MTRS,MTRS,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/MTRS
MYCR,MYCR,MYCR.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MYCR.ST
NCAB,NCAB,NCAB,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/NCAB
NCC A,NCC-A,NCC-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NCC-A.ST
NCC B,NCC-B,NCC-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NCC-B.ST
NEWA B,NEWA-B,NEWA-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NEWA-B.ST
NIBE B,NIBE-B,NIBE-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NIBE-B.ST
NOLA B,NOLA-B,NOLA-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NOLA-B.ST
NDA SE,NDA-SE,NDA-SE.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NDA-SE.ST
